Name,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
G05_P1_Oa_0_00000_2_50000_T6,G05_P1_Oa_0_00000_2_50000_T6.D,Sample,,2/28/2026 3:28,841815,645,920513,16,864,152,777277,31
H08_P2_AtOaC2_3_75000_2_50000_T7,H08_P2_AtOaC2_3_75000_2_50000_T7.D,Sample,,2/25/2026 19:11,71973,251,72267,78,825,104,38599,
B06_P2_FM_0_00000_0_62500_T0,B06_P2_FM_0_00000_0_62500_T0.D,Sample,,2/27/2026 1:16,988317,613,1125085,25,781,57,884990,13
H05_P1_Oa_0_00000_2_50000_T7,H05_P1_Oa_0_00000_2_50000_T7.D,Sample,,2/28/2026 15:58,984075,2195374,1192758,21,681,81,880564,28
E02_P1_At_0_00000_2_50000_T4,E02_P1_At_0_00000_2_50000_T4.D,Sample,,2/27/2026 14:58,1073119,448,1208381,,668,67,939099,72
C02_P1_At_0_00000_2_50000_T2,C02_P1_At_0_00000_2_50000_T2.D,Sample,,2/28/2026 21:18,1008078,614,1108312,34,629,55,925665,12
B01_P1_At_3_75000_0_00000_T1,B01_P1_At_3_75000_0_00000_T1.D,Sample,,2/27/2026 3:40,481797,187,541289,37,621,118,428844,75
D07_P2_AtOa_3_75000_2_50000_T3,D07_P2_AtOa_3_75000_2_50000_T3.D,Sample,,2/28/2026 1:06,1001085,258,1122103,29,602,80,860541,
A03_P2_FM_3_75000_0_00000_T0,A03_P2_FM_3_75000_0_00000_T0.D,Sample,,2/27/2026 22:06,876453,378,991033,17,589,13,836131,17
H04_P1_Oa_3_75000_0_00000_T7,H04_P1_Oa_3_75000_0_00000_T7.D,Sample,,2/26/2026 5:27,1210169,770,1345120,,567,153,1116676,12
D05_P1_Oa_0_00000_2_50000_T3,D05_P1_Oa_0_00000_2_50000_T3.D,Sample,,2/28/2026 13:34,95019,408,94320,,560,21,46794,
C03_P2_FM_0_23438_0_00000_T0,C03_P2_FM_0_23438_0_00000_T0.D,Sample,,2/27/2026 7:14,756483,1606,840825,13,500,8,626773,
D05_P2_OaC2_3_75000_2_50000_T3,D05_P2_OaC2_3_75000_2_50000_T3.D,Sample,,2/25/2026 19:47,968996,993,1060671,18,472,77,933963,19
F05_P1_Oa_0_00000_2_50000_T5,F05_P1_Oa_0_00000_2_50000_T5.D,Sample,,2/27/2026 13:46,859483,1826,958378,35,467,66,832655,
F04_P2_Oa_3_75000_2_50000_T5,F04_P2_Oa_3_75000_2_50000_T5.D,Sample,,2/26/2026 8:37,947722,678,1058857,45,461,8,903396,46
G07_P1_AtOa_3_75000_0_00000_T6,G07_P1_AtOa_3_75000_0_00000_T6.D,Sample,,2/27/2026 20:19,512978,193280,629497,7,401,18,402242,17
G04_P1_Oa_3_75000_0_00000_T6,G04_P1_Oa_3_75000_0_00000_T6.D,Sample,,2/27/2026 18:33,190348,174,198651,,398,62,109365,79
C03_P1_FM_0_23438_0_00000_T0,C03_P1_FM_0_23438_0_00000_T0.D,Sample,,2/27/2026 15:33,1012787,536,1133810,,380,7,896992,27
H07_P2_AtOa_3_75000_2_50000_T7,H07_P2_AtOa_3_75000_2_50000_T7.D,Sample,,2/26/2026 10:59,1095211,335,1199343,46,371,44,1056445,33
H04_P2_Oa_3_75000_2_50000_T7,H04_P2_Oa_3_75000_2_50000_T7.D,Sample,,2/25/2026 20:22,1000468,262,1106293,28,364,70,914107,60
E02_P2_AtC2_3_75000_2_50000_T4,E02_P2_AtC2_3_75000_2_50000_T4.D,Sample,,2/25/2026 23:20,919123,1103,941622,22,348,,1044004,43
E01_P1_At_3_75000_0_00000_T4,E01_P1_At_3_75000_0_00000_T4.D,Sample,,2/28/2026 12:23,646281,398,704375,7,340,102,573391,55
H03_P1_FM_0_00011_0_00000_T0,H03_P1_FM_0_00011_0_00000_T0.D,Sample,,3/1/2026 0:18,3223,248,1564,17,334,20,14,63
G04_P2_Oa_3_75000_2_50000_T6,G04_P2_Oa_3_75000_2_50000_T6.D,Sample,,2/28/2026 11:47,122168,286,125663,23,328,60,61730,33
D02_P2_AtC2_3_75000_2_50000_T3,D02_P2_AtC2_3_75000_2_50000_T3.D,Sample,,2/27/2026 4:16,821280,84603,974734,44,318,14,712631,56
