,Data File,Type,Level,Acq. Date-Time,Norvaline Results,Succinate Results,Norleucine Results,Ribose Results,Glucose_1 Results,Glucose_2 Results,Sorbitol Results,Sugar Results
B08_P2_AtOaC2_3_75000_2_50000_T1,B08_P2_AtOaC2_3_75000_2_50000_T1.D,Sample,,2/28/2026 16:34,1054080.0,1226,1171980,46973.0,13469396,2458315.0,1143610,149092.0
A05_P1_Oa_0_00000_2_50000_T0,A05_P1_Oa_0_00000_2_50000_T0.D,Sample,,2/28/2026 17:09,1019865.0,772,1133739,91965.0,20224730,4238647.0,1107363,336915.0
F02_P1_At_0_00000_2_50000_T5,F02_P1_At_0_00000_2_50000_T5.D,Sample,,2/28/2026 17:45,972152.0,714,1074750,10292.0,3097130,436066.0,960510,22922.0
D08_P2_AtOaC2_3_75000_2_50000_T3,D08_P2_AtOaC2_3_75000_2_50000_T3.D,Sample,,2/28/2026 18:20,822737.0,587,921218,79628.0,19353269,3948789.0,912932,301445.0
A03_P1_FM_3_75000_0_00000_T0,A03_P1_FM_3_75000_0_00000_T0.D,Sample,,2/28/2026 18:56,1039783.0,629,1126267,403.0,50493,6657.0,969613,697.0
G01_P1_At_3_75000_0_00000_T6,G01_P1_At_3_75000_0_00000_T6.D,Sample,,2/28/2026 19:31,816208.0,757,870259,,1040,73.0,780682,
B02_P1_At_0_00000_2_50000_T1,B02_P1_At_0_00000_2_50000_T1.D,Sample,,2/28/2026 20:07,737451.0,511,793002,23193.0,6794871,1072100.0,838696,56810.0
B07_P2_AtOa_3_75000_2_50000_T1,B07_P2_AtOa_3_75000_2_50000_T1.D,Sample,,2/28/2026 20:43,902251.0,362,990997,1543.0,257645,30827.0,861684,2269.0
C02_P1_At_0_00000_2_50000_T2,C02_P1_At_0_00000_2_50000_T2.D,Sample,,2/28/2026 21:18,1008078.0,614,1108312,34.0,629,55.0,925665,12.0
D06_P2_FM_0_00000_0_03906_T0,D06_P2_FM_0_00000_0_03906_T0.D,Sample,,2/28/2026 21:56,5088.0,126,4390,46.0,261,24.0,83,67.0
G05_P2_OaC2_3_75000_2_50000_T6,G05_P2_OaC2_3_75000_2_50000_T6.D,Sample,,2/28/2026 22:31,857784.0,489,947763,3825.0,1082589,134989.0,888007,7234.0
F08_P1_AtOa_0_00000_2_50000_T5,F08_P1_AtOa_0_00000_2_50000_T5.D,Sample,,2/28/2026 23:07,956940.0,523,1035606,94092.0,21229368,4476527.0,1100937,370252.0
C06_P1_FM_0_00000_0_15625_T0,C06_P1_FM_0_00000_0_15625_T0.D,Sample,,2/28/2026 23:42,484693.0,59538,550322,46.0,1282,179.0,462164,48.0
H03_P1_FM_0_00011_0_00000_T0,H03_P1_FM_0_00011_0_00000_T0.D,Sample,,3/1/2026 0:18,3223.0,248,1564,17.0,334,20.0,14,63.0
C09_P1_none_0_00000_0_00000_none,C09_P1_none_0_00000_0_00000_none.D,Sample,,3/1/2026 0:53,487435.0,566,518440,19837.0,6000419,936257.0,529983,45507.0
B06_P1_FM_0_00000_0_62500_T0,B06_P1_FM_0_00000_0_62500_T0.D,Sample,,3/1/2026 1:29,1021339.0,805,1135068,30.0,1490,265.0,971640,73.0
